epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,17.4416,0.8812,0.94158,1,0.16329,0.000328767,0.000328767,0.000328767
2,32.4682,0.1661,0.99141,1,0.04212,0.000629326,0.000629326,0.000629326
3,55.7216,0.10231,0.98454,1,0.06055,0.000896886,0.000896886,0.000896886
4,70.7117,0.09883,0.99656,1,0.01169,0.0008515,0.0008515,0.0008515
5,85.6969,0.06831,0.99485,1,0.08726,0.000802,0.000802,0.000802
6,100.895,0.07099,0.99656,1,0.01553,0.0007525,0.0007525,0.0007525
7,115.407,0.05396,0.99828,1,0.0055,0.000703,0.000703,0.000703
8,130.565,0.05867,0.99828,1,0.00863,0.0006535,0.0006535,0.0006535
9,145.415,0.06326,0.99485,1,0.01365,0.000604,0.000604,0.000604
10,160.44,0.05288,0.99828,1,0.00478,0.0005545,0.0005545,0.0005545
11,176.952,0.04169,0.99828,1,0.00546,0.000505,0.000505,0.000505
12,192.403,0.04777,0.99656,1,0.0072,0.0004555,0.0004555,0.0004555
13,207.769,0.04817,0.99828,1,0.00417,0.000406,0.000406,0.000406
14,223.399,0.05417,0.99485,1,0.00651,0.0003565,0.0003565,0.0003565
15,238.739,0.04823,0.99485,1,0.03117,0.000307,0.000307,0.000307
16,253.349,0.03923,0.99485,1,0.00922,0.0002575,0.0002575,0.0002575
17,267.992,0.02828,0.99656,1,0.00563,0.000208,0.000208,0.000208
18,283.076,0.03455,0.99656,1,0.00654,0.0001585,0.0001585,0.0001585
19,297.924,0.03535,0.99656,1,0.00475,0.000109,0.000109,0.000109
20,313.342,0.03485,0.99485,1,0.00447,5.95e-05,5.95e-05,5.95e-05
